level_0,index,Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number Of Engines,Engine Type,Far Description,Schedule,Purpose Of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Report Status,Publication Date,Make/Model,Year
10211,42242,20001208X08380,Accident,FTW97LA267,1997-07-15,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,Non-Fatal,Substantial,,N800SA,Piper,PA-31-350,No,2.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,26-06-1998,Piper - PA-31-350,1997
10227,42258,20001208X08433,Accident,LAX97LA247,1997-07-18,"PAGE, AZ",United States,,,,,Non-Fatal,Substantial,,N47B,Sikorsky,S-58T,No,2.0,Turbo Shaft,,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,31-12-1998,Sikorsky - S-58T,1997
10229,42260,20001208X08504,Accident,SEA97LA162,1997-07-18,"W. YELLOWSTONE, MT",United States,,,WYS,YELLOWSTONE AIRPORT,Non-Fatal,Substantial,,N3425Q,Cessna,320E,No,2.0,Reciprocating,,,Personal,,0.0,0.0,3.0,1.0,VMC,Approach,Probable Cause,28-01-2000,Cessna - 320E,1997
10245,42276,20001208X08310,Accident,CHI97FA220,1997-07-20,"SPRINGFIELD, MO",United States,,,SGF,SPRINGFIELD REGIONAL,Fatal(4),Destroyed,,N3359P,Beech,B-60,No,2.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-02-2000,Beech - B-60,1997
10259,42290,20001208X08436,Accident,LAX97LA250,1997-07-21,"ELKO, NV",United States,,,EKO,ELKO,Non-Fatal,Substantial,,N776BF,De Havilland,DHC-6-300,No,2.0,Turbo Prop,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,04-05-1998,De Havilland - DHC-6-300,1997
10273,42304,20001208X08493,Accident,NYC97LA151,1997-07-23,"SUSSEX, NJ",United States,,,N63,SUSSEX,Non-Fatal,Substantial,,N491AL,De Havilland,DHC-6-200,No,2.0,Turbo Prop,,,Positioning,,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,26-06-1998,De Havilland - DHC-6-200,1997
10278,42309,20001208X08469,Accident,MIA97LA215,1997-07-24,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Non-Fatal,Destroyed,,N816Q,Beech,65,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,5.0,VMC,Cruise,Probable Cause,02-02-1998,Beech - 65,1997
10285,42316,20001208X08497,Accident,NYC97LA155,1997-07-25,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Non-Fatal,,,N831LA,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,,SCHD,Unknown,"Laker Airways, Inc",0.0,1.0,3.0,320.0,VMC,Climb,Probable Cause,15-04-1999,Mcdonnell Douglas - DC-10-30,1997
10301,42332,20001208X08338,Accident,CHI97LA226,1997-07-26,"MITCHELL, NE",United States,,,,,Non-Fatal,Substantial,,N3BE,Beech,D50A,No,2.0,Reciprocating,,,Ferry,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,24-04-1998,Beech - D50A,1997
10332,42363,20001208X08351,Accident,DCA97MA055,1997-07-31,"NEWARK, NJ",United States,,,EWR,NEWARK INTERNATIONAL AIRP,Non-Fatal,Destroyed,,N611FE,Mcdonnell Douglas,MD-11,No,3.0,Turbo Fan,,NSCH,Unknown,"Federal Express, Inc.",0.0,0.0,5.0,0.0,VMC,Landing,Probable Cause,07-02-2001,Mcdonnell Douglas - MD-11,1997
10341,42372,20001208X08666,Accident,LAX97LA270,1997-08-01,"MORENO, CA",United States,,,,,Non-Fatal,Destroyed,,N322FA,Consolidated-Vultee,PBY-5A(28-5ACF),No,2.0,Reciprocating,,UNK,Unknown,,0.0,2.0,0.0,0.0,VMC,Landing,Probable Cause,09-06-1999,Consolidated-Vultee - PBY-5A(28-5ACF),1997
10353,42384,20001208X08569,Accident,CHI97LA234,1997-08-02,"ALMA, MI",United States,,,,,Non-Fatal,Destroyed,,N20SR,Rutan,DEFIANT,Yes,2.0,Reciprocating,,,Personal,,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,07-01-1998,Rutan - DEFIANT,1997
10370,42401,20001208X08565,Accident,CHI97FA252,1997-08-04,"NEW RICHMOND, WI",United States,,,,,Fatal(2),Destroyed,,N18960,Beech,76,No,2.0,Reciprocating,,,Instructional,,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,30-04-1999,Beech - 76,1997
10377,42408,20001208X08608,Accident,FTW97FA299,1997-08-05,"COLORADO SPRING, CO",United States,,,COS,COLORADO SPRINGS MUNI,Fatal(2),Destroyed,,N258W,Beech,58P,No,2.0,Reciprocating,,,Business,,2.0,0.0,0.0,0.0,IMC,Go-around,Probable Cause,28-02-2000,Beech - 58P,1997
10390,42421,20001208X08548,Accident,ATL97LA112,1997-08-06,"BAINBRIDGE, GA",United States,,,BGE,DECATUR CO. IND. AIRPARK,Non-Fatal,Substantial,,N124SP,Cessna,310K,No,2.0,Reciprocating,,,Ferry,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-01-1998,Cessna - 310K,1997
10391,42422,20001208X08545,Accident,ATL97FA113A,1997-08-07,FAJARDO,,,,X95,DIEGO JIMENEZ TORRES,Non-Fatal,Substantial,,N26JA,Pilatus,BN-2 ISLANDER,No,2.0,Reciprocating,,SCHD,Unknown,,0.0,1.0,5.0,8.0,VMC,Approach,Probable Cause,15-02-2000,Pilatus - BN-2 ISLANDER,1997
10392,42423,20001208X08545,Accident,ATL97FA113B,1997-08-07,FAJARDO,,,,X95,DIEGO JIMENEZ TORRES,Non-Fatal,Substantial,,N1202S,Pilatus,BN-2 ISLANDER,No,2.0,Reciprocating,,,Personal,,0.0,1.0,5.0,8.0,VMC,Approach,Probable Cause,15-02-2000,Pilatus - BN-2 ISLANDER,1997
10394,42425,20001208X08661,Accident,LAX97FA276,1997-08-07,"HONOLULU, HI",United States,,,HNL,HONOLULU INTERNATIONAL,Non-Fatal,Minor,,N740DA,Lockheed,L-1011-385-1-15,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,58.0,246.0,VMC,Takeoff,Probable Cause,11-02-2000,Lockheed - L-1011-385-1-15,1997
10395,42426,20001208X08607,Accident,DCA97MA059,1997-08-07,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL AIRPO,Fatal(5),Destroyed,,N27UA,Douglas,DC-8-61,No,4.0,Turbo Fan,,NSCH,Unknown,"Fine Airlines, Inc. (dba: Fine Air)",5.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,16-06-1998,Douglas - DC-8-61,1997
10411,42442,20001208X08670,Accident,LAX97LA277,1997-08-09,"MESA, AZ",United States,,,FFZ,FALCON FIELD,Non-Fatal,Substantial,,N8139M,Cessna,310,No,2.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,31-07-1998,Cessna - 310,1997
10425,42456,20001208X08613,Incident,FTW97IA305,1997-08-11,"LAFAYETTE, LA",United States,,,LFT,LAFAYETTE REGIONAL,Incident,Minor,,N313AE,Saab-Scania Ab (Saab),340B,No,2.0,Turbo Prop,,SCHD,Unknown,(dba: American Eagle),0.0,0.0,0.0,35.0,VMC,Taxi,Probable Cause,29-02-2000,Saab-Scania Ab (Saab) - 340B,1997
10435,42466,20001208X08566,Accident,CHI97FA256,1997-08-12,"ALICE, TX",United States,,,ALI,ALICE INTERNATIONAL,Fatal(4),Destroyed,,N41VC,Beech,BE-65-A90,No,2.0,Turbo Prop,,,Business,,4.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,15-04-1999,Beech - BE-65-A90,1997
10441,42472,20001208X08740,Accident,SEA97FA188,1997-08-13,"SEATTLE, WA",United States,,,SEA,SEATTLE-TACOMA INTNL,Non-Fatal,Destroyed,,N3172A,Beech,1900C,No,2.0,Turbo Prop,,NSCH,Unknown,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,11-06-1999,Beech - 1900C,1997
10443,42474,20001208X08728,Accident,NYC97LA165,1997-08-13,"LEXINGTON, KY",United States,,,LEX,BLUE GRASS AIRPORT,Non-Fatal,Substantial,,N227R,Dassault,DA-20,No,2.0,Turbo Jet,,NSCH,Unknown,(dba: Reliant Airlines),0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,23-07-1999,Dassault - DA-20,1997
10447,42478,20001208X08699,Accident,MIA97FA232,1997-08-14,"DALTON, GA",United States,,,DNN,DALTON MUNICIPAL,Fatal(1),Substantial,,N74EJ,Beech,200,No,2.0,Turbo Prop,,,Positioning,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,04-09-1998,Beech - 200,1997
10455,42486,20001208X08737,Accident,NYC97LA190,1997-08-15,"E. FARMINGDALE, NY",United States,,,FRG,FARMINGDALE,Non-Fatal,Substantial,,N2152L,Beech,58TC,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,30-10-1998,Beech - 58TC,1997
10470,42501,20001208X08664,Accident,LAX97FA292,1997-08-17,"KERNVILLE, CA",United States,,,LO5,KERN VALLEY,Non-Fatal,Destroyed,,N6654A,Piper,PA-34-200T,No,2.0,Reciprocating,,,Other Work Use,,0.0,1.0,4.0,0.0,VMC,Takeoff,Probable Cause,28-02-2000,Piper - PA-34-200T,1997
10476,42507,20001208X08729,Accident,NYC97LA166,1997-08-17,"PERKASIE, PA",United States,,,N70,PENNRIDGE,Non-Fatal,Substantial,,N1224S,Cessna,425,No,2.0,Turbo Prop,,,Executive/corporate,,0.0,0.0,1.0,7.0,VMC,Descent,Probable Cause,26-06-1998,Cessna - 425,1997
10485,42516,20001208X08593,Accident,CHI97LA266,1997-08-19,"DES MOINES, IA",United States,,,DSM,DES MOINES INTERNATIONAL,Non-Fatal,Substantial,,N224AM,Swearingen,SA226TC,No,2.0,Turbo Prop,,NSCH,Unknown,,0.0,0.0,1.0,0.0,IMC,Approach,Probable Cause,26-06-1998,Swearingen - SA226TC,1997
10493,42524,20001208X08632,Accident,FTW97LA320,1997-08-20,"HAYDEN, CO",United States,,,HDN,YAMPA VALLEY REGIONAL,Non-Fatal,Substantial,,N35164,Piper,PA-31-350,No,2.0,Reciprocating,,NSCH,Unknown,"Flight Line, Inc. (dba: American Check Transport)",0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,02-02-1998,Piper - PA-31-350,1997
10494,42525,20001208X08701,Incident,MIA97IA237,1997-08-21,"TAMPA, FL",United States,,,TPA,TAMPA INTERNATIONAL,Incident,Minor,,N602SW,Boeing,737-300,No,2.0,Turbo Fan,,SCHD,Unknown,Soutwest Airlines Inc.,0.0,0.0,2.0,74.0,VMC,Descent,Probable Cause,29-02-2000,Boeing - 737-300,1997
10497,42528,20001208X08713,Accident,MIA97LA238,1997-08-21,"KISSIMMEE, FL",United States,,,ISM,KISSIMMEE MUNICIPAL,Non-Fatal,Substantial,,N55322,Piper,PA-34-200,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-01-1998,Piper - PA-34-200,1997
10504,42535,20001208X08536,Accident,ANC97LA127,1997-08-22,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTERNATIONAL,Non-Fatal,Substantial,,N27188,Fairchild,SA227-AC,No,2.0,Turbo Prop,,SCHD,Unknown,Merlin Express,0.0,0.0,0.0,7.0,VMC,Taxi,Probable Cause,13-07-1998,Fairchild - SA227-AC,1997
10517,42548,20001208X08665,Incident,LAX97IA300,1997-08-24,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTERNATIONAL,Incident,Minor,,N862PA,Airbus Industrie,A300 B4-203,No,2.0,Turbo Jet,,SCHD,Unknown,"Pan American World Airways, In",0.0,0.0,0.0,265.0,VMC,Takeoff,Probable Cause,28-01-2000,Airbus Industrie - A300 B4-203,1997
10524,42555,20001208X08557,Accident,ATL97LA124,1997-08-24,"ANDERSON, SC",United States,,,AND,ANDERSON COUNTY,Non-Fatal,Substantial,,N4668N,Cessna,414A,No,2.0,Reciprocating,,,Personal,,0.0,0.0,1.0,2.0,VMC,Cruise,Probable Cause,21-05-1998,Cessna - 414A,1997
10525,42556,20001208X08716,Accident,NYC97FA170,1997-08-25,"WARREN TOWNSHIP, NJ",United States,,,,,Fatal(1),Destroyed,,N2442S,Cessna,337B,No,2.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,15-04-1999,Cessna - 337B,1997
10546,42577,20001208X08718,Accident,NYC97FA173,1997-08-28,"HANCOCK, MA",United States,,,PSF,PITTSFIELD MUNICIPAL,Fatal(1),Destroyed,,N40AB,Piper,PA-34-200T,No,2.0,Reciprocating,,,Business,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,15-02-2000,Piper - PA-34-200T,1997
10551,42582,20001208X08717,Accident,NYC97FA172,1997-08-29,"BAPTISTOWN, NJ",United States,,,,,Fatal(1),Destroyed,,N5464Y,Piper,PA-23-250,No,2.0,Reciprocating,,,Unknown,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,31-12-1998,Piper - PA-23-250,1997
10565,42596,20001208X08644,Accident,FTW97LA334,1997-08-31,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INTERNATIONAL,Non-Fatal,Substantial,,N16NM,Beech,E90,No,2.0,Turbo Prop,,NSCH,Unknown,(dba: Sb Aviation),0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,04-05-1998,Beech - E90,1997
10575,42606,20001208X08922,Accident,SEA97FA202,1997-09-01,"SEATTLE, WA",United States,,,KSEA,SEATTLE-TACOMA INTL,Non-Fatal,Substantial,,N951AS,Mcdonnell Douglas,DC-9-82 (MD-82),No,2.0,Turbo Fan,,SCHD,Unknown,Alaska Airlines,0.0,0.0,19.0,97.0,VMC,Landing,Probable Cause,15-04-1999,Mcdonnell Douglas - DC-9-82 (MD-82),1997
10580,42611,20001208X08784,Accident,ATL97LA130,1997-09-01,"MURFREESBORO, TN",United States,,,MBT,MURFREESBORO MUNI AIRPORT,Non-Fatal,Substantial,,N437CG,Beech,95-A55,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-01-1998,Beech - 95-A55,1997
10583,42614,20001208X08785,Accident,ATL97LA131,1997-09-02,"ABERDEEN, MS",United States,,,M40,MONROE COUNTY,Non-Fatal,Destroyed,,N71JC,Learjet,31,No,2.0,Turbo Fan,,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,24-04-1998,Learjet - 31,1997
10601,42632,20001208X08808,Accident,CHI97LA285,1997-09-06,"PERU, IL",United States,,,,,Non-Fatal,,,N855AW,British Aerospace,BAE-ATP,No,2.0,Turbo Prop,,SCHD,Unknown,United Feeder Service (dba: United Express),0.0,1.0,1.0,41.0,VMC,Cruise,Probable Cause,26-06-1998,British Aerospace - BAE-ATP,1997
10604,42635,20001208X08758,Accident,ANC97FA143,1997-09-06,"KETCHIKAN, AK",United States,,,,,Fatal(2),Destroyed,,N543AN,Aero Commander,AC-500A,No,2.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,15-04-1999,Aero Commander - AC-500A,1997
10625,42656,20001208X08769,Accident,ANC97LA145A,1997-09-08,"BUCKLAND, AK",United States,,,BVK,BUCKLAND,Non-Fatal,Substantial,,N2649Z,Cessna,402C,No,2.0,Reciprocating,,NSCH,Unknown,Hageland Aviation Services Inc,0.0,0.0,0.0,17.0,VMC,Taxi,Probable Cause,06-11-1998,Cessna - 402C,1997
10640,42671,20001208X08800,Accident,CHI97FA290,1997-09-12,"WEST LAFAYETTE, IN",United States,,,LAF,PURDUE UNIVERSITY,Fatal(3),Destroyed,,N18562,Beech,76,No,2.0,Reciprocating,,,Instructional,,3.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-04-1999,Beech - 76,1997
10647,42678,20001208X08933,Accident,SEA97LA210,1997-09-13,"THE DALLES, OR",United States,,,,,Non-Fatal,Substantial,,N357DA,Piper,PA-44-180,No,2.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,04-05-1998,Piper - PA-44-180,1997
10650,42681,20001208X08905,Accident,MIA97LA253,1997-09-13,"WILLISTON, FL",United States,,,X60,WILLISTON MUNICIPAL,Non-Fatal,Substantial,,N12WT,Cessna,411,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,10-04-1998,Cessna - 411,1997
10659,42690,20001208X08814,Accident,CHI97LA292,1997-09-14,"GRAND FORKS, ND",United States,,,,,Non-Fatal,,,N175UA,Boeing,747-422,No,4.0,Turbo Fan,,SCHD,Unknown,United Airlines (dba: United Airlines),0.0,1.0,1.0,322.0,IMC,Cruise,Probable Cause,15-04-1999,Boeing - 747-422,1997
10661,42692,20001208X08772,Accident,ANC97LA150,1997-09-14,"KIVALINA, AK",United States,,,KVL,KIVALINA,Non-Fatal,Substantial,,N2649Z,Cessna,402C,No,2.0,Reciprocating,,SCHD,Unknown,"Hageland Aviation Services,inc",0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-11-1998,Cessna - 402C,1997
10684,42715,20001208X08914,Accident,NYC97LA183,1997-09-19,"NANTUCKET, MA",United States,,,ACK,NANTUCKET MEMORIAL,Non-Fatal,Substantial,,N6879Y,Cessna,402C,No,2.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,30-10-1998,Cessna - 402C,1997
10702,42733,20001208X08851,Accident,FTW97LA356,1997-09-22,"PATTERSON, LA",United States,,,PTN,HARRY P WILLIAMS MEM,Non-Fatal,Substantial,,N517AL,Sikorsky,S-76A,No,2.0,Turbo Shaft,,,Positioning,,0.0,2.0,0.0,0.0,IMC,Takeoff,Probable Cause,26-06-1998,Sikorsky - S-76A,1997
10716,42747,20001208X08834,Incident,FTW97IA363,1997-09-24,"SALT LAKE CITY, UT",United States,,,SLC,SALT LAKE CITY INT'L,Incident,Minor,,N205AU,Boeing,737-200RS,No,2.0,Turbo Jet,,SCHD,Unknown,"Frontier Airlines, Inc.",0.0,0.0,1.0,68.0,VMC,Takeoff,Probable Cause,28-02-2000,Boeing - 737-200RS,1997
10719,42750,20001208X08925,Incident,SEA97IA217,1997-09-25,"SODA SPRINGS, ID",United States,,,U78,ALLEN H. TIGERT,Incident,Minor,,CGBUA,Piper,PA-23-250,No,2.0,Reciprocating,,,Other Work Use,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,15-04-1999,Piper - PA-23-250,1997
10725,42756,20001208X08821,Accident,CHI97LA301,1997-09-25,"HOWELL, MI",United States,,,3HE,LIVINGSTON COUNTY,Non-Fatal,Substantial,,N110N,Universal,D-16,No,2.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,24-04-1998,Universal - D-16,1997
10727,42758,20001208X08916,Accident,NYC97LA187,1997-09-26,"LONG ISLAND, NY",United States,,,,,Non-Fatal,,,N14077,Airbus Industrie,A-300,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,0.0,162.0,VMC,Descent,Probable Cause,10-11-1998,Airbus Industrie - A-300,1997
10732,42763,20001208X08926,Incident,SEA97IA219,1997-09-27,"SEATTLE, WA",United States,,,SEA,SEATTLE-TACOMA INTL,Incident,,,N13331,Boeing,737-3T0,No,2.0,Turbo Fan,,SCHD,Unknown,Continental Airlines,0.0,0.0,0.0,134.0,VMC,Takeoff,Probable Cause,15-04-1999,Boeing - 737-3T0,1997
10740,42771,20001208X08859,Accident,FTW97LA367,1997-09-28,"MORA, NM",United States,,,,,Non-Fatal,Destroyed,,N365C,Beech,58,No,2.0,Reciprocating,,NSCH,Unknown,"Cutter Aviation (dba: Cutter Flying Service, Inc.)",0.0,2.0,0.0,0.0,VMC,Climb,Probable Cause,26-06-1998,Beech - 58,1997
10749,42780,20001208X08862,Accident,FTW97LA370,1997-09-29,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INTERNATIONAL,Non-Fatal,Substantial,,N59217,Cessna,210L,No,2.0,Reciprocating,,NSCH,Unknown,(dba: New Mexico Flying Service),0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-11-1998,Cessna - 210L,1997
10758,42789,20001208X09076,Accident,MIA98LA002,1997-10-01,"CROSS CITY, FL",United States,,,,,Non-Fatal,,,N33502,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,3.0,91.0,IMC,Cruise,Probable Cause,10-11-1998,Mcdonnell Douglas - DC-9-82,1997
10759,42790,20001208X09074,Incident,MIA98IA001,1997-10-01,"FORT LAUDERDALE, FL",United States,,,FLL,FT. LAUDERDALE/HOLLYWOOD,Incident,Minor,,N168WS,Grumman,G-73,No,2.0,Reciprocating,,,Unknown,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-05-2003,Grumman - G-73,1997
10762,42793,20001208X08993,Accident,FTW98FA001,1997-10-01,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,Non-Fatal,Substantial,,N414EX,Boeing,727-51C,No,3.0,Turbo Fan,,NSCH,,"Ryan Int'l Airlines, Inc.",0.0,1.0,2.0,1.0,VMC,Taxi,Probable Cause,04-05-1998,Boeing - 727-51C,1997
10771,42802,20001208X08964,Accident,CHI98LA003,1997-10-02,"LAKE ELMO, MN",United States,,,21D,LAKE ELMO,Non-Fatal,Substantial,,N916TM,Beech,E18S,No,2.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,24-04-1998,Beech - E18S,1997
10784,42815,20001208X08961,Incident,CHI98IA007,1997-10-04,"CHICAGO, IL",United States,,,MDW,MIDWAY,Incident,Minor,,N129SW,Boeing,737-200,No,2.0,Turbo Fan,,SCHD,Unknown,Southwest Airlines (dba: Southwest Airlines),0.0,0.0,0.0,50.0,VMC,Landing,Probable Cause,30-10-1998,Boeing - 737-200,1997
10803,42834,20001208X09004,Accident,FTW98LA007,1997-10-06,"CROSBYTON, TX",United States,,,,,Non-Fatal,Substantial,,N9312Y,Beech,G18S,No,2.0,Reciprocating,,NSCH,Unknown,,0.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause,11-02-2000,Beech - G18S,1997
10811,42842,20001208X09075,Incident,MIA98IA006,1997-10-08,"ORLANDO, FL",United States,,,MCO,ORLANDO INTERNATIONAL,Incident,Minor,,N486JB,Beech,18 [C-45H],No,2.0,Reciprocating,,NSCH,Unknown,Carib-air Cargo Inc,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,10-11-1998,Beech - 18 [C-45H],1997
10819,42850,20001208X08970,Accident,CHI98LA011,1997-10-09,"CHARLOTTE, MI",United States,,,07G,FITCH H BEACH,Non-Fatal,Substantial,,N54738,Piper,PA-23-250,No,2.0,Reciprocating,,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,21-05-1998,Piper - PA-23-250,1997
10851,42882,20001208X08949,Accident,ATL98FA002,1997-10-15,"KENNESAW, GA",United States,,,RYY,MC COLLUM FIELD,Fatal(1),Destroyed,,N315K,Beech,95-B55,No,2.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,30-10-1998,Beech - 95-B55,1997
10852,42883,20001208X09107,Accident,NYC98LA013,1997-10-15,"PITTSBURGH, PA",United States,,,PIT,PITTSBURGH INTERNATIONAL,Non-Fatal,Substantial,,N162ZV,Beech,1900D,No,2.0,Turbo Prop,,SCHD,Unknown,(dba: Usair Express),0.0,0.0,2.0,14.0,VMC,Taxi,Probable Cause,15-04-1999,Beech - 1900D,1997
10853,42884,20001208X09047,Accident,LAX98FA013,1997-10-15,"MEADVIEW, AZ",United States,,,,,Non-Fatal,Substantial,,N227AV,Beech,99-C99,No,2.0,Turbo Prop,,SCHD,Unknown,(dba: Air Vegas),0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,14-02-2000,Beech - 99-C99,1997
10858,42889,20001208X08998,Incident,FTW98IA019,1997-10-16,"SEATTLE, WA",United States,,,,,Incident,Minor,,N581UA,Boeing,757-222,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,196.0,VMC,Climb,Probable Cause,04-05-1998,Boeing - 757-222,1997
10881,42912,20001208X09016,Accident,FTW98LA022B,1997-10-19,"TYLER, TX",United States,,,TYR,TYLER POUNDS FIELD,Non-Fatal,Substantial,,N602RJ,Piper,PA-60,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,27-08-1999,Piper - PA-60,1997
10906,42937,20001208X09110,Accident,NYC98LA019,1997-10-24,"PHILADELPHIA, PA",United States,,,PNE,NORTHEAST PHILADELPHIA,Non-Fatal,Substantial,,N8371H,Piper,PA-34-220T,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,04-05-1998,Piper - PA-34-220T,1997
10923,42954,20001208X08950,Accident,ATL98FA008,1997-10-27,"TAMPA, FL",United States,,,TPA,TAMPA INTERNATIONAL,Fatal(3),Substantial,,N69293,Cessna,402B,No,2.0,Reciprocating,,,Personal,,3.0,1.0,0.0,0.0,IMC,Landing,Probable Cause,06-11-1998,Cessna - 402B,1997
10924,42955,20001208X09112,Accident,NYC98LA022,1997-10-28,"NORFOLK, VA",United States,,,ORF,NORFOLK INTERNATIONAL,Non-Fatal,,,N87BP,Beech,B200,No,2.0,Turbo Prop,,NSCH,Unknown,,0.0,1.0,0.0,9.0,VMC,Standing,Probable Cause,04-05-1998,Beech - B200,1997
10929,42960,20001208X08981,Accident,CHI98LA026,1997-10-29,"SHEBOYGAN, WI",United States,,,SBM,SHEBOYGAN COUNTY MUNI,Non-Fatal,Substantial,,N62MB,Learjet,35A,No,2.0,Turbo Fan,,NSCH,Unknown,West Bend Air,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,26-06-1998,Learjet - 35A,1997
10936,42967,20001208X08959,Accident,CHI98FA028,1997-10-30,"NEW BERLIN, IL",United States,,,,,Fatal(6),Destroyed,,N472TL,Beech,BE 58,No,2.0,Reciprocating,,,Business,,6.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,21-06-2000,Beech - BE 58,1997
10939,42970,20001208X09095,Accident,NYC98FA024,1997-10-31,"FITCHBURG, MA",United States,,,FIT,FITCHBURG MUNICIPAL,Fatal(2),Destroyed,,N3EV,Piper,PA-23-150,No,2.0,Reciprocating,,,Instructional,,2.0,0.0,0.0,0.0,VMC,Go-around,Probable Cause,15-02-2000,Piper - PA-23-150,1997
10940,42971,20001208X09084,Accident,MIA98LA017,1997-10-31,"JACKSONVILLE, FL",United States,,,,,Non-Fatal,,,N988HA,De Havilland,DH-8-201,No,2.0,Turbo Prop,,SCHD,Unknown,U.s. Air Express,0.0,1.0,0.0,17.0,VMC,Climb,Probable Cause,02-02-1998,De Havilland - DH-8-201,1997
10951,42982,20001208X09169,Accident,FTW98LA038,1997-11-01,"GALVESTON, TX",United States,,,,,Non-Fatal,Substantial,,N40201,Piper,PA-23-250,No,2.0,Reciprocating,,,Ferry,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,30-10-1998,Piper - PA-23-250,1997
